_id.month,_id.state,employment,employment_men,employment_women,employment_other,prod,prod_men,prod_women,prod_other,jobchange,jobchange_men,jobchange_women,jobchange_other,total_population,total_population_men,total_population_women,total_population_other
9,AZ,-14.29,-14.29,-14.29,0,0,14.29,-14.29,0,7.14,14.29,0,0,14,7,7,0
9,MO,-17.65,-14.29,-20,0,23.53,42.86,10,0,17.65,28.57,10,0,17,7,10,0
4,OK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,MN,0,14.29,-11.11,0,6.25,0,11.11,0,6.25,14.29,0,0,16,7,9,0
7,WA,-5.88,0,-8.33,0,0,10,-4.17,0,0,0,0,0,34,10,24,0
8,NY,-9.64,-7.41,-10.71,0,8.43,18.52,3.57,0,12.05,11.11,12.5,0,83,27,56,0
5,NH,0,0,0,0,-100,0,0,0,0,0,0,0,1,0,0,0
6,FL,0,0,0,0,37.5,25,50,0,0,0,0,0,8,4,4,0
7,MI,-9.17,-8,-9.79,0,1.38,-2.67,3.5,0,5.5,6.67,4.9,0,218,75,143,0
10,TX,-10,0,-33.33,0,30,42.86,0,0,20,28.57,0,0,10,7,3,0
7,MA,-7.51,-12.7,-4.59,0,-0.58,6.35,-4.59,0,6.36,1.59,9.17,0,173,63,109,1
7,CT,0,0,0,0,0,100,-50,0,0,0,0,0,6,2,4,0
10,KS,0,0,0,0,-25,0,-33.33,0,0,0,0,0,4,1,3,0
4,TX,0,0,0,0,-16.67,-15.38,-17.24,0,0,0,0,0,42,13,29,0
4,MO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,CT,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,WI,-15,-16.67,-14.29,0,25,50,14.29,0,0,0,0,0,20,6,14,0
5,AR,0,0,0,0,50,0,100,0,0,0,0,0,2,1,1,0
6,MO,0,0,0,0,0,0,0,0,100,0,100,0,1,0,1,0
8,NE,0,0,0,0,100,0,100,0,0,0,0,0,1,0,1,0
10,MI,0,0,0,0,-12.5,50,-33.33,0,25,50,16.67,0,8,2,6,0
9,UT,0,0,0,0,66.67,100,0,0,0,0,0,0,3,2,1,0
5,CO,0,0,0,0,9.09,10,8.33,0,0,0,0,0,22,10,12,0
7,KS,-8.33,0,-13.33,0,-2.08,-16.67,6.67,0,6.25,5.56,6.67,0,48,18,30,0
9,VA,-12.5,-20,0,0,-12.5,0,-33.33,0,0,0,0,0,8,5,3,0
7,AR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
8,VT,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0
5,Non-US,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,NY,0,0,0,0,-17.65,-25,-11.11,0,0,0,0,0,17,8,9,0
6,MD,0,0,0,0,-41.67,-25,-50,0,8.33,0,12.5,0,12,4,8,0
7,NM,0,0,0,0,-60,-50,-66.67,0,0,0,0,0,5,2,3,0
8,AR,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0
4,Invalid ZIP,-11.11,0,-16.67,0,-55.56,-66.67,-50,0,0,0,0,0,9,3,6,0
5,DE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,NJ,0,0,0,0,-33.33,0,-100,0,0,0,0,0,3,2,1,0
8,NM,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,0
10,OR,0,0,0,0,0,0,0,0,0,0,0,0,17,6,10,0
10,WA,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
5,WA,-11.76,-14.29,-11.11,0,-35.29,-42.86,-33.33,0,5.88,0,11.11,0,17,7,9,1
8,NH,-20,-100,0,0,0,0,0,0,0,0,0,0,5,1,4,0
7,NY,-7.19,-4.65,-8.7,-100,-1.37,-3.1,-0.62,0,8.22,9.3,7.45,0,292,129,161,1
9,ID,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
4,IA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,FL,-50,-100,0,0,0,0,0,0,0,0,0,0,2,1,1,0
8,CA,-9.42,-6.33,-11.27,0,-7.62,-2.53,-10.56,0,7.17,6.33,7.04,50,223,79,142,2
4,KS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,MD,-5.56,0,-8.7,0,0,7.69,-4.35,0,11.11,7.69,13.04,0,36,13,23,0
8,OR,-5.21,-11.11,-4.41,100,-6.25,3.7,-10.29,0,8.33,7.41,7.35,100,96,27,68,1
8,CO,-12.3,-15.28,-11.11,0,-7.14,-12.5,-5,0,8.33,11.11,7.22,0,252,72,180,0
4,WA,-8.16,-4.55,-11.11,0,-22.45,-31.82,-14.81,0,0,0,0,0,49,22,27,0
8,ND,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,FL,-7.69,-9.09,-7.14,0,0,18.18,-14.29,0,0,0,0,0,26,11,14,0
7,WV,50,0,100,0,50,100,0,0,50,0,100,0,2,1,1,0
7,GA,-8.33,-6.45,-9.43,0,-7.94,-6.45,-8.81,0,5.16,5.38,5.03,0,252,93,159,0
6,CT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,LA,-4.48,10.53,-10.64,0,-10.45,0,-14.89,0,11.94,21.05,8.51,0,67,19,47,1
4,UT,0,0,0,0,-33.33,0,-50,0,0,0,0,0,3,1,2,0
7,VA,-3.7,-6.25,-2.08,0,3.7,9.38,0,0,4.94,6.25,4.17,0,81,32,48,1
9,WI,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
10,AZ,-10,-16.67,0,0,-10,-33.33,25,0,10,0,25,0,10,6,4,0
7,NJ,-9.09,-4.88,-11.59,0,2.73,12.2,-2.9,0,2.73,2.44,2.9,0,110,41,69,0
8,UT,-4.69,-5.26,-4.44,0,-1.56,-2.63,-1.11,0,8.59,13.16,6.67,0,128,38,90,0
8,SD,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,MO,-9.3,-21.43,-3.45,0,0,-14.29,6.9,0,13.95,7.14,17.24,0,43,14,29,0
10,NM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,OK,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
8,ID,-15.38,0,-21.05,0,-3.85,14.29,-10.53,0,11.54,14.29,10.53,0,26,7,19,0
4,IL,-4,0,-6.25,0,-12,-25,-6.25,0,0,0,0,0,25,8,16,1
4,PA,0,0,0,0,-42.11,-50,-38.46,0,0,0,0,0,19,6,13,0
4,AZ,-5.49,-5.68,-5.56,0,-11.37,-7.95,-12.96,0,3.53,3.41,3.7,0,255,88,162,1
5,NJ,0,0,0,0,0,66.67,-28.57,0,10,0,14.29,0,10,3,7,0
4,GA,0,0,0,0,-40,-75,-16.67,0,0,0,0,0,10,4,6,0
5,NY,-9.38,-16.67,0,0,-9.38,-5.56,-14.29,0,3.12,5.56,0,0,32,18,14,0
5,ME,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,OR,-8.33,0,-12.5,0,-25,-50,-12.5,0,0,0,0,0,12,4,8,0
7,KY,0,0,0,0,-33.33,0,-33.33,0,0,0,0,0,3,0,3,0
7,NC,-6.9,0,-11.11,0,-1.72,-4.55,0,0,5.17,9.09,2.78,0,58,22,36,0
7,Invalid ZIP,0,0,0,0,-11.11,0,-16.67,0,0,0,0,0,9,3,6,0
8,RI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,Invalid ZIP,0,0,0,0,0,-25,100,0,0,0,0,0,5,4,1,0
7,TN,-7.69,0,-20,0,7.69,12.5,0,0,0,0,0,0,13,8,5,0
4,MT,0,0,0,0,22.22,50,14.29,0,0,0,0,0,9,2,7,0
5,AL,0,0,0,0,50,100,0,0,0,0,0,0,2,1,0,0
9,NY,-6.25,0,-16.67,0,15.62,21.05,16.67,-100,6.25,5.26,8.33,0,32,19,12,1
8,NC,-4.31,-4.76,-4.05,0,-4.31,0,-6.76,0,6.03,7.14,5.41,0,116,42,74,0
5,WI,-22.22,0,-40,0,-11.11,-75,40,0,0,0,0,0,9,4,5,0
8,AZ,-4.18,-3.17,-5.13,0,-3.48,-6.35,-1.28,0,3.14,4.76,1.92,0,287,126,156,1
6,PR,0,0,0,0,-100,-100,0,0,0,0,0,0,1,1,0,0
7,UT,-6.45,-5,-7.14,0,3.23,15,-2.38,0,8.06,5,9.52,0,62,20,42,0
10,WV,0,0,0,0,100,0,100,0,0,0,0,0,1,0,1,0
5,UT,0,0,0,0,-25,-33.33,0,0,0,0,0,0,4,3,1,0
5,NM,0,0,0,0,-25,-50,0,0,0,0,0,0,4,2,2,0
7,ID,0,0,0,0,-8.33,0,-11.11,0,12.5,0,16.67,0,24,6,18,0
5,IA,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
7,MO,-16.9,-12.5,-19.15,0,-7.04,-16.67,-2.13,0,4.23,12.5,0,0,71,24,47,0
4,NY,5.88,12.5,0,0,-17.65,0,-33.33,0,5.88,12.5,0,0,17,8,9,0
4,Non-US,0,0,0,0,33.33,33.33,0,0,0,0,0,0,3,3,0,0
4,DE,0,0,0,0,-50,-50,0,0,0,0,0,0,2,2,0,0
9,NC,0,0,0,0,-8,-11.11,-6.25,0,4,11.11,0,0,25,9,16,0
9,MD,-5.56,-6.67,-4.76,0,0,0,0,0,11.11,6.67,14.29,0,36,15,21,0
5,PA,-6.25,0,-10,0,12.5,16.67,10,0,0,0,0,0,16,6,10,0
5,FL,0,0,0,0,-33.33,-50,-28.57,0,0,0,0,0,9,2,7,0
7,NV,-10.2,-7.69,-10.75,0,-2.72,-5.77,-1.08,0,4.08,5.77,3.23,0,147,52,93,1
9,SD,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
7,AZ,-8.33,-6.53,-9.61,0,0.24,-0.89,1.43,0,3.62,3.86,3.48,0,828,337,489,0
10,AR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,IN,-5.13,-8.33,-3.7,0,0,8.33,-3.7,0,10.26,0,14.81,0,39,12,27,0
8,AK,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
4,CA,-11.11,-3.03,-15.87,0,-19.19,-15.15,-20.63,-100,0,0,0,0,99,33,63,1
4,VA,0,0,0,0,-16.67,0,-20,0,0,0,0,0,6,1,5,0
9,IL,-8.57,0,-15,0,8.57,7.14,5,100,2.86,0,5,0,35,14,20,1
10,NJ,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
9,MT,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,MT,0,0,0,0,25,50,0,0,0,0,0,0,4,2,2,0
6,Invalid ZIP,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
9,SC,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,IN,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0
4,NH,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
8,VA,7.14,0,7.69,0,42.86,100,38.46,0,14.29,0,15.38,0,14,1,13,0
6,UT,-100,0,-100,0,0,0,0,0,0,0,0,0,1,0,1,0
7,HI,0,0,0,0,-50,0,-50,0,0,0,0,0,2,0,2,0
8,ME,0,0,0,0,-16.67,-100,0,0,0,0,0,0,6,1,5,0
9,MI,-4.55,0,-6.67,0,-9.09,0,-13.33,0,4.55,0,6.67,0,22,7,15,0
5,LA,0,0,0,0,-100,-100,0,0,0,0,0,0,1,1,0,0
5,MN,-15.38,0,-12.5,-100,-7.69,25,-25,0,7.69,0,12.5,0,13,4,8,1
8,CT,-25,0,-33.33,0,25,100,0,0,0,0,0,0,4,1,3,0
4,NJ,-15.38,-7.69,-23.08,0,-30.77,-38.46,-23.08,0,3.85,7.69,0,0,26,13,13,0
8,MS,-10,0,-11.11,0,-20,0,-22.22,0,10,0,11.11,0,10,1,9,0
5,MI,0,0,0,0,9.09,33.33,0,0,0,0,0,0,11,3,8,0
9,MN,-16.67,0,-18.18,0,-8.33,0,-9.09,0,0,0,0,0,12,1,11,0
7,ME,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
7,MN,-8.56,-9.43,-8.27,0,-3.21,1.89,-5.26,0,5.35,1.89,6.77,0,187,53,133,1
6,NJ,-25,-50,0,0,-25,-50,0,0,0,0,0,0,4,2,2,0
5,MO,0,0,0,0,-20,-50,100,0,0,0,0,0,5,4,1,0
5,TN,0,0,0,0,50,0,50,0,0,0,0,0,4,0,4,0
5,NV,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0
7,OH,-5.94,-4.26,-6.7,0,-2.97,-5.32,-1.91,0,4.95,5.32,4.78,0,303,94,209,0
10,CO,-11.43,-16.67,-4.76,-100,2.86,16.67,-4.76,0,0,0,0,0,35,12,21,1
5,VA,0,0,0,0,-20,0,-66.67,0,0,0,0,0,10,6,3,0
5,OH,0,0,0,0,20,33.33,0,0,0,0,0,0,5,3,2,0
8,WA,-7.89,0,-13.64,0,0,0,0,0,0,0,0,0,38,16,22,0
4,LA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,CO,-6.94,-8.33,-6.56,0,9.83,18.75,7.38,-100,4.62,4.17,4.92,0,173,48,122,1
10,MA,0,0,0,0,-21.43,-25,-16.67,0,7.14,12.5,0,0,14,8,6,0
7,NE,0,0,0,0,-66.67,-50,-100,0,0,0,0,0,3,2,1,0
4,WY,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,PA,0,0,0,0,-66.67,-50,-100,0,0,0,0,0,3,2,1,0
8,NV,-20,-10,-30,0,-10,-10,-10,0,5,10,0,0,20,10,10,0
9,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,KS,-33.33,0,-100,0,0,0,0,0,0,0,0,0,3,2,1,0
10,IN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,NH,-20,0,-20,0,0,0,0,0,0,0,0,0,5,0,5,0
6,TX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,SC,-10,0,-14.29,0,20,66.67,0,0,0,0,0,0,10,3,7,0
4,AL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,AL,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
6,DC,0,0,0,0,-50,0,-50,0,0,0,0,0,2,0,2,0
4,NC,0,0,0,0,0,-33.33,25,0,0,0,0,0,7,3,4,0
6,NH,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
9,WV,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
7,SC,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0
7,Non-US,0,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0
4,WV,0,0,0,0,-100,0,-100,0,0,0,0,0,1,0,1,0
8,Invalid ZIP,-20,0,-33.33,0,20,25,16.67,0,6.67,12.5,0,0,15,8,6,0
8,OH,-16,-16.67,-15.79,0,-8,16.67,-15.79,0,4,0,5.26,0,25,6,19,0
6,TN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,TN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,VT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
10,WY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,ME,-100,0,-100,0,0,0,0,0,0,0,0,0,1,0,1,0
5,HI,0,0,0,0,-100,0,-100,0,100,0,100,0,1,0,1,0
9,OH,-5,0,-6.45,0,0,25,-3.23,-100,15,12.5,12.9,100,40,8,31,1
5,DC,0,0,0,0,7.69,-50,33.33,0,0,0,0,0,13,4,9,0
4,AK,0,0,0,0,100,0,100,0,0,0,0,0,1,0,1,0
6,AZ,0,0,0,0,25,0,100,0,0,0,0,0,4,2,1,0
4,CO,-25,0,-28.57,0,8.33,-25,28.57,0,0,0,0,0,12,4,7,0
8,TN,-10.53,-16.67,-7.69,0,-5.26,0,-7.69,0,0,0,0,0,19,6,13,0
9,PA,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0
10,ID,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
4,TN,0,0,0,0,-25,0,-100,0,0,0,0,0,4,3,1,0
9,NJ,-13.04,-14.29,-12.5,0,0,0,0,0,0,0,0,0,23,7,16,0
8,KS,-7.41,-12.5,-5.26,0,0,25,-10.53,0,3.7,12.5,0,0,27,8,19,0
10,VA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,DE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,MA,0,0,0,0,75,0,75,0,25,0,25,0,4,0,4,0
4,MA,0,0,0,0,-23.33,-23.08,-23.53,0,0,0,0,0,30,13,17,0
4,DC,0,0,0,0,-42.86,0,-42.86,0,0,0,0,0,7,0,7,0
8,PA,0,0,0,0,-4.76,-20,-7.14,0,14.29,20,14.29,0,21,5,14,1
7,TX,-6.25,-4.46,-7.3,0,-3.94,-1.27,-5.47,0,7.18,7.01,7.3,0,432,157,274,1
9,LA,-12.5,0,-25,0,25,25,25,0,12.5,0,25,0,8,4,4,0
10,UT,0,0,0,0,11.11,20,0,0,0,0,0,0,9,5,4,0
4,NE,0,0,0,0,-100,-100,0,0,0,0,0,0,3,3,0,0
8,MI,-11.59,-10.42,-12.36,0,-2.17,0,-4.49,0,5.8,8.33,4.49,0,138,48,89,0
6,VA,0,0,0,0,-50,-100,0,0,50,100,0,0,2,1,1,0
10,NH,0,0,0,0,-100,-100,-100,0,0,0,0,0,3,1,2,0
4,CT,0,0,0,0,-60,0,-75,0,0,0,0,0,5,1,4,0
5,NC,0,0,0,0,-25,-100,0,0,0,0,0,0,4,1,3,0
4,AR,0,0,0,0,25,33.33,0,0,0,0,0,0,4,3,1,0
6,NC,-6.67,0,-9.09,0,20,25,18.18,0,0,0,0,0,15,4,11,0
8,IL,-5,0,-10.53,0,-12.5,-14.29,-10.53,0,7.5,9.52,5.26,0,40,21,19,0
8,IN,-8.33,-25,0,0,0,-25,12.5,0,8.33,0,12.5,0,12,4,8,0
9,CA,-4.35,-9.09,0,0,-2.17,0,-4.17,0,15.22,13.64,16.67,0,46,22,24,0
5,GA,0,0,0,0,0,100,-33.33,0,0,0,0,0,4,1,3,0
6,MA,-14.29,0,-20,0,-28.57,-50,-20,0,0,0,0,0,7,2,5,0
5,MD,-10,0,-25,0,10,16.67,0,0,0,0,0,0,10,6,4,0
9,GA,-2.86,-7.69,0,0,0,-15.38,9.09,0,14.29,15.38,13.64,0,35,13,22,0
9,WA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,OH,0,0,0,0,-16.67,0,-33.33,0,0,0,0,0,6,3,3,0
7,AL,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
8,WI,-8.33,0,-11.11,0,-25,-33.33,-22.22,0,16.67,0,22.22,0,12,3,9,0
6,CA,0,-100,16.67,0,0,0,0,0,14.29,0,16.67,0,7,1,6,0
5,IN,0,0,0,0,-66.67,-100,-50,0,0,0,0,0,3,1,2,0
4,NV,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,MI,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0
7,IL,-7.62,-3.54,-9.91,0,0.91,-0.88,0.94,100,7.62,14.16,3.3,100,328,113,212,2
9,DC,-16.67,0,-25,0,0,-50,25,0,16.67,50,0,0,6,2,4,0
8,DC,0,0,0,0,-33.33,-50,0,0,0,0,0,0,3,2,1,0
5,TX,0,0,0,0,-14.29,-9.09,-20,0,4.76,9.09,0,0,21,11,10,0
7,FL,-7.35,-2.63,-10.15,0,1.28,8.77,-3.05,0,8.63,13.16,6.09,0,313,114,197,1
8,FL,-20,-33.33,-18.18,0,-4,33.33,-9.09,0,0,0,0,0,25,3,22,0
8,IA,-25,0,-25,0,0,0,0,0,25,0,25,0,4,0,4,0
5,IL,0,0,0,0,-30,0,-46.15,0,0,0,0,0,20,7,13,0
6,IL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,CA,-3.57,0,-5.56,0,25,10,33.33,0,17.86,10,22.22,0,28,10,18,0
10,DC,0,0,0,0,-100,-100,0,0,0,0,0,0,1,1,0,0
5,CA,0,1.92,-2.44,0,-5.38,5.77,-19.51,0,1.08,1.92,0,0,93,52,41,0
8,OK,-25,0,-40,0,25,0,40,0,0,0,0,0,8,3,5,0
9,OR,0,0,0,0,-22.22,-25,-20,0,11.11,25,0,0,9,4,5,0
9,IA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,WV,-22.22,0,-28.57,0,22.22,-50,42.86,0,0,0,0,0,9,2,7,0
10,NV,0,0,0,0,0,-50,100,0,66.67,50,100,0,3,2,1,0
10,MD,0,0,0,0,-25,0,-33.33,0,25,100,0,0,4,1,3,0
5,AZ,0,0,0,0,-26.47,-26.67,-23.53,-100,0,0,0,0,34,15,17,1
7,MD,-4.67,-1.16,-7.09,0,-0.47,-9.3,5.51,0,8.41,11.63,6.3,0,214,86,127,1
10,IL,-17.65,-22.22,-12.5,0,-5.88,11.11,-25,0,5.88,11.11,0,0,17,9,8,0
9,MA,0,0,0,0,15.79,28.57,8.33,0,0,0,0,0,19,7,12,0
4,SC,0,0,0,0,0,50,-100,0,0,0,0,0,3,2,1,0
8,KY,-10,0,-14.29,0,10,33.33,0,0,10,33.33,0,0,10,3,7,0
4,IN,0,0,0,0,-25,0,-50,0,0,0,0,0,8,4,4,0
6,CO,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0
7,DC,-4.17,-8.33,0,0,-12.5,0,-18.18,-100,4.17,8.33,0,0,24,12,11,1
10,OH,0,0,0,0,-20,-50,0,0,0,0,0,0,5,2,3,0
10,NY,-11.76,0,-22.22,0,0,12.5,-11.11,0,11.76,25,0,0,17,8,9,0
9,Invalid ZIP,100,100,0,0,0,0,0,0,100,100,0,0,1,1,0,0
8,AL,-12.5,0,-13.04,0,-12.5,0,-13.04,0,12.5,0,13.04,0,24,1,23,0
10,Invalid ZIP,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
8,MT,0,0,0,0,-50,0,-50,0,0,0,0,0,2,0,2,0
10,LA,-16.67,-22.22,-13.33,0,0,11.11,-6.67,0,4.17,0,6.67,0,24,9,15,0
